,School name,Department,Number of first-year students Fellowship,Number of first-year students RA's,Number of first-year students TA's,Number of first-year students Receive full tuition waivers,Number of first-year students Receive partial waivers,"Average stipend 
 (per academic year) Fellowship ($$)","Average stipend 
 (per academic year) RA ($$)","Average stipend 
 (per academic year) TA ($$)"
155,"North Carolina State University, Raleigh",Physics,2,,15,,,"$24,000","$24,000","$23,940"
156,Princeton University,Physics,29,,,,,"$29,900","$29,900","$32,900"
157,Purdue Universty,Physics,,,,*,,"$23,909","$21,275","$20,783"
158,San Diego State University,Physics,,1,12,*,,,"$16,000","$17,964"
159,San Francisco State University,Physics & Astronomy,10,,10,*,,"$2,000","$6,000","$5,430"
160,San Jose State University,Physics,,,5,,,,,
161,Seton Hall University,Physics,,,4,,,,,
162,University of Alabama at Birmingham,Physics,2,1,4,*,,"$26,000","$24,000","$24,000"
163,"University of California, Irvine",Physics,18,3,32,,,,"$20,794","$21,273"
164,"University of California, San Diego",Physics,4,2,43,*,,"$12,500","$21,758","$21,273"
165,University of Central Florida,Physics,1,6,,*,,,,"$22,307"
166,University of Dayton,Electro-Optics Program,,17,7,,,,"$21,000","$14,000"
167,University of Denver,Physics,,,6,,,"$26,667","$20,700","$20,700"
168,"University of Maryland, College Park",Astronomy,,,6,*,,"$35,000","$31,000","$31,000"
169,"University of Nebraska, Lincoln",Nebraska Center for Materials & Nanoscience,,,,*,,,,
170,"University of Nevada, Reno",Physics,,,8,*,,,"$22,800","$19,000"
171,University of Pennsylvania,Physics,,,13,*,,"$30,477","$30,477","$30,477"
172,University of Southern California,Physics & Astronomy,10,,,*,,"$32,000","$30,500","$30,500"
173,University of Virginia,Physics,,,,*,,"$20,000","$20,000","$20,000"
174,Wayne State University,Physics and Astronomy,,,7,*,,"$20,792","$20,792","$20,792"
175,Wesleyan University,Physics,,,,*,,,,"$34,386"
